Ticker,Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_100,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200
AMZN,2022-08-05,140.1000,142.8600,139.6000,140.8000,50686900,123.1965,117.1305,128.9620,145.8927,126.5990,122.3296,127.9242,139.4295
AMZN,2022-08-08,142.0500,144.2300,138.2900,139.4100,52229000,124.5795,117.7832,128.8824,145.7360,127.8191,122.9994,128.1516,139.4293
AMZN,2022-08-09,138.0500,138.9500,136.2100,137.8300,40434700,126.0100,118.3182,128.7297,145.5664,128.7725,123.5810,128.3433,139.4134
AMZN,2022-08-10,142.9000,144.6000,141.0100,142.6900,54773800,127.6245,118.8691,128.5842,145.4459,130.0980,124.3303,128.6274,139.4460
AMZN,2022-08-11,143.8600,144.4900,139.7600,140.6400,44867300,129.1250,119.2777,128.3781,145.3190,131.1020,124.9699,128.8652,139.4579
AMZN,2022-08-12,142.0500,143.5700,140.1200,143.5500,47643500,130.6250,119.7150,128.1987,145.1928,132.2875,125.6986,129.1560,139.4986
AMZN,2022-08-15,142.8000,143.7600,141.4900,143.1800,39014600,132.0960,120.0684,127.9816,145.0605,133.3249,126.3841,129.4337,139.5353
AMZN,2022-08-16,143.9100,146.5700,142.0000,144.7800,59102900,133.4245,120.5170,127.7953,144.9228,134.4159,127.1055,129.7376,139.5874
AMZN,2022-08-17,142.6900,143.3800,140.7800,142.1000,48149800,134.3910,120.8632,127.5798,144.7902,135.1477,127.6935,129.9824,139.6124
AMZN,2022-08-18,141.3200,142.7700,140.3800,142.3000,37458700,135.2745,121.2492,127.3551,144.6722,135.8289,128.2663,130.2263,139.6392
AMZN,2022-08-19,140.4700,141.1100,137.9100,138.2300,47792800,136.0650,121.5902,127.0475,144.5351,136.0575,128.6571,130.3848,139.6252
AMZN,2022-08-22,135.7200,136.3200,132.8500,133.2200,50461500,136.6690,121.9316,126.6865,144.3552,135.7873,128.8360,130.4409,139.5614
AMZN,2022-08-23,133.4100,134.9900,132.9500,133.6200,36252100,137.6095,122.4110,126.3597,144.1541,135.5809,129.0236,130.5039,139.5023
AMZN,2022-08-24,132.7500,135.4700,132.1000,133.8000,38627000,138.2510,123.0136,126.0677,143.9433,135.4113,129.2109,130.5692,139.4456
AMZN,2022-08-25,135.2600,137.4200,134.2800,137.2800,37496300,139.0010,123.7130,125.8049,143.7575,135.5893,129.5274,130.7021,139.4240
AMZN,2022-08-26,136.5500,137.8300,130.5000,130.7500,53322700,138.7910,124.1746,125.4290,143.5172,135.1284,129.5753,130.7030,139.3377
AMZN,2022-08-29,129.9000,131.9500,128.7700,129.7900,48101600,138.5110,124.6972,125.0863,143.2956,134.6200,129.5837,130.6849,139.2427
AMZN,2022-08-30,131.2500,132.0700,126.8500,128.7300,49203000,138.2395,125.1474,124.7861,143.0711,134.0590,129.5502,130.6462,139.1381
AMZN,2022-08-31,129.4500,130.5900,126.7400,126.7700,53648700,137.6020,125.5092,124.4759,142.8237,133.3648,129.4412,130.5695,139.0150
AMZN,2022-09-01,126.0000,128.0200,123.6600,127.8200,56636100,136.8645,125.8866,124.2095,142.5764,132.8367,129.3776,130.5150,138.9037
AMZN,2022-09-02,129.5000,131.3800,126.3900,127.5100,57429800,136.2000,126.1880,123.9734,142.3288,132.3294,129.3044,130.4555,138.7903
AMZN,2022-09-06,127.9200,128.6200,124.7400,126.1100,43888600,135.5350,126.3810,123.7266,142.0721,131.7371,129.1791,130.3695,138.6641
AMZN,2022-09-07,126.1200,129.8200,125.4000,129.4800,47900300,135.1175,126.7062,123.4660,141.7954,131.5221,129.1909,130.3518,138.5727
AMZN,2022-09-08,127.7200,130.2800,127.1000,129.8200,43988500,134.4740,127.1546,123.2471,141.5254,131.3600,129.2156,130.3413,138.4856
AMZN,2022-09-09,130.9100,133.6900,130.7600,133.2700,49387600,134.1055,127.6416,123.0520,141.2986,131.5419,129.3746,130.3993,138.4337
AMZN,2022-09-12,134.1000,136.4900,134.0000,136.4500,53826900,133.7505,128.2464,122.8353,141.0858,132.0094,129.6521,130.5191,138.4140
AMZN,2022-09-13,131.0100,131.4000,126.2700,126.8200,72694000,132.9325,128.5916,122.5636,140.8248,131.5151,129.5410,130.4459,138.2986
